volume,page,entry_number,image_number,url,source
2,291,3577,295,https://dlib.nyu.edu/aco/book/cornell_aco000444/295,author_bios.csv (author=maḥmūd b. ḥamzah b. naṣr al-kirmānī tāǧ al-qurrāʾ ʾabū al-qāsim)
2,301,3618,305,https://dlib.nyu.edu/aco/book/cornell_aco000444/305,bibliographic_citations (citation_id=23)
2,301,3618,305,https://dlib.nyu.edu/aco/book/cornell_aco000444/305,author_bios.csv (author=al-muẓaffar b. ʾaḥmad b. ḥamdān al-miṣrī ʾabū ġānim)
2,309,3645,313,https://dlib.nyu.edu/aco/book/cornell_aco000444/313,bibliographic_citations (citation_id=171)
2,309,3645,313,https://dlib.nyu.edu/aco/book/cornell_aco000444/313,author_bios.csv (author=makkī b. ʾabī ṭālib ḥammūš b. muḥammad al-qaysī ʾabū muḥammad)
2,311–12,3650,315,https://dlib.nyu.edu/aco/book/cornell_aco000444/315,bibliographic_citations (citation_id=231)
2,311,3649,315,https://dlib.nyu.edu/aco/book/cornell_aco000444/315,author_bios.csv (author=manṣūr b. ʾaḥmad b. ʾibrāhīm ʾabū naṣr al-ʿirāqī)
2,312,3654,316,https://dlib.nyu.edu/aco/book/cornell_aco000444/316,author_bios.csv (author=manṣūr b. sarrār b. ʿīsā al-musaddī al-ʾiskandarī al-mālikī ʾabū ʿalī)
2,318,3679,322,https://dlib.nyu.edu/aco/book/cornell_aco000444/322,bibliographic_citations (citation_id=325)
2,318,3679,322,https://dlib.nyu.edu/aco/book/cornell_aco000444/322,author_bios.csv (author=al-muʿaddil mūsā b. al-ḥusayn b. ʾismāʾīl al-ḥusaynī al-miṣrī ʾabū ʾismāʿīl)
2,336,3729,340,https://dlib.nyu.edu/aco/book/cornell_aco000444/340,bibliographic_citations (citation_id=250)
2,336,3729,340,https://dlib.nyu.edu/aco/book/cornell_aco000444/340,author_bios.csv (author=naṣr b. ʿabd al-ʿazīz b. ʾaḥmad al-šīrāzī al-fārisī ʾabū al-ḥusayn)
2,337,3731,341,https://dlib.nyu.edu/aco/book/cornell_aco000444/341,author_bios.csv (author=b. ʾabī maryam naṣr b. ʿalī b. muḥammad al-fārisī ʾabū ʿabd allāh faḫr al-dīn)
2,349,3767,353,https://dlib.nyu.edu/aco/book/cornell_aco000444/353,bibliographic_citations (citation_id=368)
2,349,3767,353,https://dlib.nyu.edu/aco/book/cornell_aco000444/353,author_bios.csv (author=b. ṭāwūs hibat allāh b. ʾaḥmad b. ʿabd allāh al-baġdādī al-dimašqī ʾabū muḥammad)
2,351,3772,355,https://dlib.nyu.edu/aco/book/cornell_aco000444/355,author_bios.csv (author=hibat allāh b. ʿabd al-raḥīm b. al-bārizī al-ḥamawī al-qāḍī ʾabū al-qāsim)
2,353,3779,357,https://dlib.nyu.edu/aco/book/cornell_aco000444/357,author_bios.csv (author=b. al-harrās hibat allāh b. yaḥyā b. muḥammad al-šīrāzī ʾabū ṭālib)
2,364,3818,368,https://dlib.nyu.edu/aco/book/cornell_aco000444/368,bibliographic_citations (citation_id=308)
2,393,3909,397,https://dlib.nyu.edu/aco/book/cornell_aco000444/397,author_bios.csv (author=yūsuf b. ʾibrāhīm b. muḥammad b. yaʿqūb)
2,397,3929,401,https://dlib.nyu.edu/aco/book/cornell_aco000444/401,bibliographic_citations (citation_id=265)
2,397,3929,401,https://dlib.nyu.edu/aco/book/cornell_aco000444/401,author_bios.csv (author=yūsuf b. ʿalī b. ǧubārah al-biskarī al-huḏalī ʾabū al-qāsim)
